Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
63,15 November 2018,20:46,F9 B5B1047.2268,"KSC , LC-39A",Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,Success
64,3 December 2018,18:34:05,F9 B5B1046.3268SHERPA,"VAFB , SLC-4E",SSO-A ( SmallSat Express ),"4,000 kg",SSO,Spaceflight Industries,Success,Success
65,5 December 2018,18:16,F9 B5,"CCAFS , SLC-40",SpaceX CRS-16 (Dragon C112.2♺ ),"2,500 kg",LEO ( ISS ),NASA ( CRS ),Success,Failure
66,23 December 2018,13:51,F9 B5,"CCAFS , SLC-40",GPS III - 01 ( Vespucci ),"4,400 kg",MEO,USAF,Success,No attempt
67,11 January 2019,15:31,F9 B5B1049.2397,"VAFB , SLC-4E",Iridium NEXT -8 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,Success
68,22 February 2019,01:45,F9 B5B1048.3399,"CCAFS , SLC-40",Nusantara Satu (PSN-6) Beresheet Moon lander S5,"4,850 kg",GTO,PSN SpaceIL / IAI Air Force Research,Success,Success
69,2 March 2019,07:49,F9 B5413,"KSC , LC-39A",Crew Dragon Demo-1 (Dragon C201),"12,055 kg",LEO ( ISS ),NASA ( CCD ),Success,Success
70,4 May 2019,06:48,F9 B5,"CCAFS , SLC-40",SpaceX CRS-17 (Dragon C113.2 ♺),"2,495 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
71,24 May 2019,02:30,F9 B5B1049.3434,"CCAFS , SLC-40",Starlink v0.9 (60 satellites),"13,620 kg",LEO,SpaceX,Success,Success
72,12 June 2019,14:17,F9 B5B1051.2420,"VAFB , SLC-4E",RADARSAT Constellation (3 satellites),"4,200 kg",SSO,Canadian Space Agency (CSA),Success,Success
73,25 July 2019,22:01,F9 B5B1056.2465,CCAFS SLC-40,SpaceX CRS-18 ( Dragon C108 .3 ♺),"2,268 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
74,6 August 2019,23:23,F9 B5B1047.3472,"CCAFS , SLC-40",AMOS-17,"6,500 kg",GTO,Spacecom,Success,No attempt
75,11 November 2019,14:56,F9 B5B1048.4,"CCAFS , SLC-40",Starlink 1 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
76,5 December 2019,17:29,F9 B5,"CCAFS , SLC-40",SpaceX CRS-19 (Dragon C106.3 ♺),"2,617 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
77,17 December 2019,00:10,F9 B5B1056.3482,"CCAFS , SLC-40",JCSat-18 / Kacific 1,"6,956 kg",GTO,Sky Perfect JSAT Kacific 1,Success,Success
78,7 January 2020,02:19:21,F9 B5B1049.4,"CCAFS , SLC-40",Starlink 2 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
79,19 January 2020,15:30,F9 B5B1046.4,"KSC , LC-39A",Crew Dragon in-flight abort test (Dragon C205.1),"12,050 kg",Sub-orbital,NASA ( CTS ),Success,No attempt
80,29 January 2020,14:07,F9 B5B1051.3,"CCAFS , SLC-40",Starlink 3 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
81,17 February 2020,15:05,F9 B5B1056.4,"CCAFS , SLC-40",Starlink 4 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Failure
82,7 March 2020,04:50,F9 B5B1059.2,"CCAFS , SLC-40",SpaceX CRS-20 (Dragon C112.3 ♺),"1,977 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
83,18 March 2020,12:16,F9 B5B1048.5,"KSC , LC-39A",Starlink 5 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Failure
84,22 April 2020,19:30,F9 B5B1051.4,"KSC , LC-39A",Starlink 6 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
85,30 May 2020,19:22,F9 B5,"KSC , LC-39A",Crew Dragon Demo-2 ( Crew Dragon C206.1 Endeavour ),"12,530 kg",LEO ( ISS ),NASA ( CCDev ),Success,Success
86,4 June 2020,01:25,F9 B5B1049.5,"CCAFS , SLC-40",Starlink 7 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
87,13 June 2020,09:21,F9 B5B1059.3,"CCAFS , SLC-40","Starlink 8 v1.0 (58 satellites), SkySats -16, -17, -18","15,410 kg",LEO,SpaceX Planet Labs,Success,Success
88,30 June 2020,20:10:46,F9 B5,"CCAFS , SLC-40",GPS III - 03 ( Matthew Henson ),"4,311 kg",MEO,U.S. Space Force,Success,Success
89,20 July 2020,21:30,F9 B5B1058.2544,"CCAFS , SLC-40",ANASIS-II,"6,000 kg",GTO,Republic of Korea Army,Success,Success
90,7 August 2020,05:12,F9 B5B1051.5,"KSC , LC-39A","Starlink 9 v1.0 (57 Satellites), SXRS-1 (BlackSky Global 7 and 8)","14,932 kg",LEO,SpaceX Spaceflight Industries (BlackSky),Success,Success
91,18 August 2020,14:31,F9 B5B1049.6544,"CCAFS , SLC-40","Starlink 10 v1.0 (58 satellites) SkySat -19, -20, -21","15,440 kg",LEO,SpaceX Planet Labs,Success,Success
92,30 August 2020,23:18,F9 B5B1059.4,"CCAFS , SLC-40",SAOCOM 1B GNOMES 1 Tyvak-0172,"3,130 kg",SSO,CONAE PlanetIQ Tyvak,Success,Success
93,3 September 2020,12:46:14,F9 B5B1060.2563,"KSC , LC-39A",Starlink 11 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
94,6 October 2020,11:29:34,F9 B5B1058.3565,"KSC , LC-39A",Starlink 12 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
95,18 October 2020,12:25:57,F9 B5B1051.6568,"KSC , LC-39A",Starlink 13 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
96,24 October 2020,15:31:34,F9 B5B1060.3,"CCAFS , SLC-40",Starlink 14 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
97,5 November 2020,23:24:23,F9 B5,"CCAFS , SLC-40",GPS III - 04 ( Sacagawea ),"4,311 kg",MEO,USSF,Success,Success
98,16 November 2020,00:27,F9 B5,"KSC , LC-39A",Crew-1 ( Crew Dragon C207.1 Resilience ),"12,500 kg",LEO ( ISS ),NASA ( CCP ),Success,Success
99,21 November 2020,17:17:08,F9 B5,"VAFB , SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success
100,25 November 2020,02:13,F9 B5 ♺,"CCAFS , SLC-40",Starlink 15 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
101,6 December 2020,16:17:08,F9 B5 ♺,"KSC , LC-39A",SpaceX CRS-21 (Dragon C208.1),"2,972 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
102,13 December 2020,17:30:00,F9 B5 ♺,"CCSFS , SLC-40",SXM-7,"7,000 kg",GTO,Sirius XM,Success,Success
103,19 December 2020,14:00:00,F9 B5 ♺,"KSC , LC-39A",NROL-108,,LEO,NRO,Success,Success
104,8 January 2021,02:15,F9 B5B1060.4,"CCSFS , SLC-40",Türksat 5A,"3,500 kg",GTO,Türksat,Success,Success
105,20 January 2021,13:02,F9 B5B1051.8609,"KSC , LC-39A",Starlink 16 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
